Date,Open,High,Low,Close,Adjusted_close,Volume
2013-03-15,39.45,40.35,39.4,39.9,39.9,2472700
2013-03-18,39.9,39.9,38.7,39,39,3484800
2013-03-19,38.85,39.5,37.85,39.5,39.5,3987100
2013-03-20,39.6,40,38.15,39.2,39.2,4278800
2013-03-21,39.85,40,38.75,38.9,38.9,3045000
2013-03-22,38.95,39,38.6,38.65,38.65,4522500
2013-03-25,39.1,39.7,38.95,39.1,39.1,2239000
2013-03-26,39.1,40.05,39.1,40,40,2480400
2013-03-27,39.7,40.7,39.7,40.05,40.05,4904500
2013-04-01,40.6,41,40.15,40.5,40.5,3553200
2013-04-02,40.5,40.5,39.5,39.8,39.8,2982900
2013-04-03,40,40,39.4,39.4,39.4,2714000
2013-04-04,39.3,39.7,39,39.35,39.35,1302200
2013-04-05,39.25,39.35,38.8,39.35,39.35,3480700
2013-04-08,39.35,40.25,38.95,40.1,40.1,2221700
2013-04-10,40.5,40.85,40.5,40.7,40.7,3703000
2013-04-11,40.8,41.6,40.8,41.45,41.45,5049800
2013-04-12,41.55,41.6,40.05,40.5,40.5,2137000
2013-04-15,40.5,41.3,40,40,40,2663300
2013-04-16,40,40.45,39.5,40,40,3012400
2013-04-17,40.05,40.8,40.05,40.7,40.7,2452300
2013-04-18,40.75,41.2,40.75,41,41,3730600
2013-04-19,41,41.1,40.6,40.6,40.6,3021300
2013-04-22,40.8,40.9,39.7,39.85,39.85,7593500
2013-04-23,40,40,38.65,38.85,38.85,12812600
2013-04-24,39,39.6,37.8,38.3,38.3,9162400
2013-04-25,38.35,38.45,37.9,38,38,6001800
2013-04-26,38.2,38.65,38.1,38.5,38.5,6156500
2013-04-29,38.65,39.2,38.65,38.8,38.8,1560700
2013-04-30,39.5,40.35,39.5,39.9,39.9,5473200
2013-05-02,40.1,40.6,39.9,39.95,39.95,4277900
2013-05-03,40.25,40.85,40.25,40.6,40.6,6584600
2013-05-06,41,41.6,41,41.3,41.3,7728000
2013-05-07,41.4,41.5,40.35,40.7,40.7,1226500
2013-05-08,40.8,41.2,40.6,40.9,40.9,1920600
2013-05-09,40.9,41.2,40.7,40.8,40.8,2390200
2013-05-10,40.8,41,40.7,40.8,40.8,2675700
2013-05-14,40.8,41.3,40.8,41,41,2341400
2013-05-15,41.3,41.4,40.9,40.9,40.9,3366300
2013-05-16,40.8,40.8,39.7,40.25,40.25,5094200
2013-05-17,40.25,40.4,39.55,39.85,39.85,2193100
2013-05-20,39.85,40.4,39.85,40.25,40.25,1660200
2013-05-21,40.25,40.25,40,40.15,40.15,2512200
2013-05-22,40,40.85,40,40,40,4937300
2013-05-23,40.5,40.6,39.85,40.3,40.3,3832900
2013-05-24,40.35,40.4,39.85,39.85,39.85,4167600
2013-05-27,39.85,39.9,38.95,39.5,39.5,2459000
2013-05-28,39.5,39.5,38.6,38.7,38.7,3678800
2013-05-29,39.5,40,39,39.1,39.1,2989200
2013-05-31,38,38,34.5,34.5,34.5,26664500
2013-06-03,35.65,36.4,35.65,36,36,22167199
2013-06-04,36.5,36.55,34.9,35.6,35.6,24695500
2013-06-05,35.65,36.8,35.6,36.05,36.05,5760300
2013-06-06,36.1,37.05,34.8,37,37,4560400
2013-06-07,37.05,38.3,36.95,38.05,38.05,6300100
2013-06-10,38.5,38.9,38.15,38.45,38.45,7975600
2013-06-11,38.4,38.4,35.95,36.3,36.3,5467100
2013-06-13,35.7,35.7,32.6,33.9,33.9,8824700
2013-06-14,34.2,35.5,34.2,34.9,34.9,3743900
2013-06-17,34.9,36.25,34.5,35.9,35.9,3142400
2013-06-18,36.05,37.5,36.05,37.5,37.5,7571700
2013-06-19,37.5,37.8,36.8,37.7,37.7,8997100
2013-06-20,36.7,37.2,35.85,36.2,36.2,2047400
2013-06-21,35.5,37.2,34.6,36,36,2255000
2013-06-24,36,36.3,34.3,34.6,34.6,1878200
2013-06-25,34.5,35.5,32.3,33.75,33.75,8210700
2013-06-26,34,35.7,34,35.5,35.5,6603700
2013-06-27,35.7,37.1,35.7,36.2,36.2,9451500
2013-06-28,36.5,36.85,35.95,36.3,36.3,3471300
2013-07-01,36.5,36.7,36,36.4,36.4,1032000
2013-07-02,36.45,37.1,36,36.4,36.4,4181100
2013-07-03,36.4,36.7,36.4,36.45,36.45,2763500
2013-07-04,36.55,36.75,36.45,36.5,36.5,2984600
2013-07-05,36.75,37,36.35,36.35,36.35,852400
2013-07-08,36.5,36.9,35,35.4,35.4,1904800
2013-07-09,35.8,36,35,35.15,35.15,3075900
2013-07-10,35.5,36.2,35.3,35.5,35.5,6687300
2013-07-11,35.65,37.65,35.55,37.5,37.5,5016300
2013-07-12,37.7,38,37,37.6,37.6,5212300
2013-07-15,37.7,38.1,37,37.55,37.55,780900
2013-07-16,37.6,39.5,37.6,38.4,38.4,3686600
2013-07-17,38.5,38.5,37.55,38.3,38.3,1487300
2013-07-18,38.3,39.3,38.3,38.95,38.95,4310500
2013-07-19,39,39.3,38.3,38.9,38.9,3178200
2013-07-22,39,39.2,38.5,38.5,38.5,2310400
2013-07-23,39,40,38.95,39.95,39.95,2535800
2013-07-24,39.95,41,39.8,41,41,7148200
2013-07-25,40.5,40.8,40.35,40.65,40.65,6228300
2013-07-26,40.65,40.65,39.8,40.1,40.1,2367000
2013-07-29,40.2,40.5,39.9,40.05,40.05,953400
2013-07-30,40.2,40.95,40.05,40.95,40.95,1012900
2013-07-31,40.9,40.95,40.35,40.95,40.95,2201400
2013-08-01,41,41.35,40.9,41.3,41.3,4326000
2013-08-02,41.3,41.5,40.5,40.5,40.5,1736900
2013-08-05,40.5,40.8,40.35,40.4,40.4,1671800
2013-08-06,40.5,40.5,40.15,40.4,40.4,5447100
2013-08-07,40.35,40.35,39.5,39.95,39.95,2512300
